year,avg_temp_Chi,year_g,avg_temp_global,C_MA,g_MA
1750,10.49,1750,8.72,,
1751,11.19,1751,7.98,,
1752,4.5,1752,5.78,,
1753,10.04,1753,8.39,,
1754,10.64,1754,8.47,9.372,7.868
1755,7.41,1755,8.36,8.756,7.796
1756,11.15,1756,8.85,8.748,7.97
1757,9.5,1757,9.02,9.748,8.618
1758,8.61,1758,6.74,9.462,8.288
1759,9.59,1759,7.99,9.252,8.192
1760,8.05,1760,7.19,9.38,7.958
1761,10.4,1761,8.77,9.23,7.942
1762,9.82,1762,8.61,9.294,7.86
1763,7.72,1763,7.5,9.116,8.012
1764,10.63,1764,8.4,9.324,8.094
1765,9.78,1765,8.25,9.67,8.306
1766,10.49,1766,8.41,9.688,8.234
1767,9.41,1767,8.22,9.606,8.156
1768,8.95,1768,6.78,9.852,8.012
1769,9.79,1769,7.69,9.684,7.87
1770,9.66,1770,7.69,9.66,7.758
1771,10.44,1771,7.85,9.65,7.646
1772,10.27,1772,8.19,9.822,7.64
1773,10.42,1773,8.22,10.116,7.928
1774,10.27,1774,8.77,10.212,8.144
1775,10.99,1775,9.18,10.478,8.442
1776,9.98,1776,8.3,10.386,8.532
1777,9.67,1777,8.26,10.266,8.546
1778,7.63,1778,8.54,9.708,8.61
1779,10.32,1779,8.98,9.718,8.652
1780,12.54,1780,9.43,10.028,8.702
1781,10.18,1781,8.1,10.068,8.662
1782,9.69,1782,7.9,10.072,8.59
1783,9.44,1783,7.68,10.434,8.418
1784,9.4,1784,7.86,10.25,8.194
1785,9.2,1785,7.36,9.582,7.78
1786,9.75,1786,8.26,9.496,7.812
1787,9.78,1787,8.03,9.514,7.838
1788,10.28,1788,8.45,9.682,7.992
1789,10.03,1789,8.33,9.808,8.086
1790,9.93,1790,7.98,9.954,8.21
1791,10.12,1791,8.23,10.028,8.204
1792,9.62,1792,8.09,9.996,8.216
1793,10.2,1793,8.23,9.98,8.172
1794,10.3,1794,8.53,10.034,8.212
1795,10.01,1795,8.35,10.05,8.286
1796,9.92,1796,8.27,10.01,8.294
1797,9.66,1797,8.51,10.018,8.378
1798,10.43,1798,8.67,10.064,8.466
1799,10.11,1799,8.51,10.026,8.462
1800,10.11,1800,8.48,10.046,8.488
1801,10.47,1801,8.59,10.156,8.552
1802,10.66,1802,8.58,10.356,8.566
1803,10.48,1803,8.5,10.366,8.532
1804,10.41,1804,8.84,10.426,8.598
1805,10.63,1805,8.56,10.53,8.614
1806,10.1,1806,8.43,10.456,8.582
1807,9.88,1807,8.28,10.3,8.522
1808,9.84,1808,7.63,10.172,8.348
1809,9.04,1809,7.08,9.898,7.996
1810,9.22,1810,6.92,9.616,7.668
1811,9.37,1811,6.86,9.47,7.354
1812,8.34,1812,7.05,9.162,7.108
1813,9.67,1813,7.74,9.128,7.13
1814,9.55,1814,7.59,9.23,7.232
1815,8.86,1815,7.24,9.158,7.296
1816,8.27,1816,6.94,8.938,7.312
1817,8.54,1817,6.98,8.978,7.298
1818,9.42,1818,7.83,8.928,7.316
1819,9.19,1819,7.37,8.856,7.272
1820,9.02,1820,7.62,8.888,7.348
1821,9.08,1821,8.09,9.05,7.578
1822,9.87,1822,8.19,9.316,7.82
1823,9.31,1823,7.72,9.294,7.798
1824,9.57,1824,8.55,9.37,8.034
1825,10.87,1825,8.39,9.74,8.188
1826,10.19,1826,8.36,9.962,8.242
1827,10.58,1827,8.81,10.104,8.366
1828,11,1828,8.17,10.442,8.456
1829,9.94,1829,7.94,10.516,8.334
1830,11.11,1830,8.52,10.564,8.36
1831,9.02,1831,7.64,10.33,8.216
1832,10.33,1832,7.45,10.28,7.944
1833,10.7,1833,8.01,10.22,7.912
1834,10.92,1834,8.15,10.416,7.954
1835,9.44,1835,7.39,10.082,7.728
1836,8.68,1836,7.7,10.014,7.74
1837,9.42,1837,7.38,9.832,7.726
1838,8.81,1838,7.51,9.454,7.626
1839,10.57,1839,7.63,9.384,7.522
1840,10.24,1840,7.8,9.544,7.604
1841,9.83,1841,7.69,9.774,7.602
1842,10.32,1842,8.02,9.954,7.73
1843,8.78,1843,8.17,9.948,7.862
1844,10.28,1844,7.65,9.89,7.866
1845,10.6,1845,7.85,9.962,7.876
1846,11.29,1846,8.55,10.254,8.048
1847,9.23,1847,8.09,10.036,8.062
1848,9.77,1848,7.98,10.234,8.024
